year,volume
1838,1
1865,2
1873,2
1874,2
1875,2
1876,4
1877,4
1878,4
1879,4
1880,4
1881,5
1882,6
1883,7
1884,7
1885,7
1886,7
1887,7
1888,7
1889,7
1890,8
1891,8
1892,8
1893,8
1894,10
1895,13
1896,13
1897,14
1898,14
1899,14
1900,14
1901,14
1902,15
1903,16
1904,16
1905,16
1906,17
1907,21
1908,22
1909,22
1910,24
1911,25
1912,30
1913,31
1914,31
1915,33
1916,33
1917,33
1918,33
1919,33
1920,34
1921,34
1922,36
1923,36
1924,37
1925,38
1926,38
1927,38
1928,38
1929,39
1930,39
1931,39
1932,39
1933,39
1934,39
1935,39
1936,40
1937,40
1938,40
1939,40
1940,40
1941,40
1942,42
1943,43
1944,45
1945,45
1946,45
1947,45
1948,45
1949,49
1950,49
1951,49
1952,49
1953,49
1954,49
1955,49
1956,49
1957,49
1958,49
1959,50
1960,51
1961,51
1962,52
1963,52
1964,53
1965,53
1966,53
1967,54
1968,55
1969,55
1970,55
1971,56
1972,58
1973,58
1974,59
1975,61
1976,61
1977,64
1978,71
1979,73
1980,73
1981,75
1982,82
1983,82
1984,82
1985,83
1986,85
1987,87
1988,87
1989,88
1990,91
1991,94
1992,95
1993,97
1994,98
1995,101
1996,102
1997,105
1998,110
1999,118
2000,124
2001,139
2002,152
2003,165
2004,174
2005,180
2006,189
2007,196
2008,212
2009,218
2010,227
2011,237
2012,244
2013,247
2014,252
2015,257
2016,261
2017,264
2018,267
2019,269
2020,269
2021,269
