year,count
1951,1
1959,1
1973,1
1974,2
1975,1
1976,1
1978,3
1979,5
1980,2
1981,2
1982,1
1984,3
1985,11
1986,7
1987,11
1988,13
1989,17
1990,32
1991,17
1992,17
1993,18
1994,15
1995,22
1996,13
1997,24
1998,13
1999,14
2000,19
2001,14
2002,22
2003,16
2004,23
2005,14
2006,9
2007,14
2008,25
2009,38
2010,33
2011,39
2012,59
2013,55
2014,71
2015,84
2016,47
2017,49
2018,58
2019,28
2020,16
