src_jurisdiction,dst_jurisdiction,count
ab,bc,11.8143193673229
ab,ca,54.6553368108138
ab,mb,3.93039430141904
ab,nb,1.34892590722979
ab,nl,0.824499411071849
ab,ns,2.03741095967244
ab,nt,0.33372595210051
ab,nu,0.0210331482416288
ab,on,18.6970665769252
ab,pe,0.368080094228504
ab,qc,1.00398227606708
ab,sk,4.80537326827079
ab,yk,0.159851926636379
bc,ab,5.75338287651548
bc,ca,62.5170830131796
bc,mb,3.30985213295717
bc,nb,1.0639857822407
bc,nl,0.619974074877853
bc,ns,1.80772005560411
bc,nt,0.147221847487551
bc,nu,0.0175962367515001
bc,on,20.0168923872814
bc,pe,0.246347314521001
bc,qc,1.0299663911878
bc,sk,3.12919743564176
bc,yk,0.340780451754052
ca,ab,10.891404034246
ca,bc,19.7073713785883
ca,mb,5.99305537148461
ca,nb,2.66917592175365
ca,nl,1.41808254035571
ca,ns,3.50942295968405
ca,nt,0.365785776764651
ca,nu,0.0397593235613751
ca,on,38.5506401251093
ca,pe,0.612293582845177
ca,qc,10.5441726084767
ca,sk,5.45762981419143
ca,yk,0.241206562939009
mb,ab,8.4457586398078
mb,bc,10.2993901312142
mb,ca,48.1611532064313
mb,nb,1.48771021992238
mb,nl,0.87784143411569
mb,ns,2.10681944187766
mb,nt,0.186656810201442
mb,nu,0.0351136573646276
mb,on,21.0201441508039
mb,pe,0.352984660875993
mb,qc,1.02384032526335
mb,sk,5.86028460543338
mb,yk,0.142302716688228
nb,ab,5.14539205888805
nb,bc,8.80639578813952
nb,ca,52.5873205450069
nb,mb,3.16620761937261
nb,nl,1.26258317693226
nb,ns,3.99005532941721
nb,nt,0.141370317108246
nb,nu,0.019499354083896
nb,on,19.3872327979136
nb,pe,0.626416749945158
nb,qc,1.24064640358788
nb,sk,3.53913276622712
nb,yk,0.0877470933775319
nl,ab,6.05402303561913
nl,bc,9.28392835184654
nl,ca,51.674386195024
nl,mb,3.09054391933434
nl,nb,2.36914374718203
nl,ns,4.07427142681477
nl,nt,0.196745501496086
nl,nu,0.0491863753740214
nl,on,17.2890109439685
nl,pe,1.30753781202607
nl,qc,0.905849079804894
nl,sk,3.58650653768906
nl,yk,0.118867073820552
ns,ab,5.31967314088613
ns,bc,8.97835995565228
ns,ca,53.2069970845481
ns,mb,3.02426805732353
ns,nb,2.19890773210693
ns,nl,1.3201658933191
ns,nt,0.158091405576315
ns,nu,0.0205313513735474
ns,on,20.9029688334086
ns,pe,0.566665297909908
ns,qc,1.05736459573769
ns,sk,3.10844659795508
ns,yk,0.137560054202768
nt,ab,15.321375186846
nt,bc,9.8903836571998
nt,ca,43.6970602889885
nt,mb,4.35974090682611
nt,nb,1.17090184354758
nt,nl,0.672645739910314
nt,ns,2.01793721973094
nt,nu,0.224215246636771
nt,on,15.0722471350274
nt,pe,0.548081714000996
nt,qc,1.46985550572995
nt,sk,4.80817140009965
nt,yk,0.747384155455904
nu,ab,15.8992805755396
nu,bc,7.12230215827338
nu,ca,44.8920863309352
nu,mb,2.94964028776978
nu,nb,0.431654676258993
nu,nl,1.29496402877698
nu,ns,1.43884892086331
nu,nt,4.74820143884892
nu,on,16.5467625899281
nu,pe,0.215827338129496
nu,qc,0.719424460431655
nu,sk,2.30215827338129
nu,yk,1.43884892086331
on,ab,5.37689197222386
on,bc,10.4310789712636
on,ca,72.4603314585089
on,mb,3.11991690673565
on,nb,1.25031845885512
on,nl,0.661087920773969
on,ns,2.04662890887831
on,nt,0.175070714197059
on,nu,0.0241702105421313
on,pe,0.267832062764158
on,qc,1.3456928031565
on,sk,2.73776628059655
on,yk,0.103213331504236
pe,ab,6.36363636363636
pe,bc,9.10371318822023
pe,ca,43.7131882202305
pe,mb,4.54545454545455
pe,nb,2.61203585147247
pe,nl,1.12676056338028
pe,ns,5.2752880921895
pe,nt,0.153649167733675
pe,on,22.2407170294494
pe,qc,0.806658130601793
pe,sk,3.96927016645327
pe,yk,0.089628681177977
qc,ab,2.73817104571001
qc,bc,4.15017027049475
qc,ca,78.2482903734876
qc,mb,1.21819540961821
qc,nb,0.635399651153133
qc,nl,0.522578144466901
qc,ns,0.854813256180957
qc,nt,0.0844430908939893
qc,nu,0.01453528613749
qc,on,10.1421689415543
qc,pe,0.132201888202885
qc,sk,1.19535424568787
qc,yk,0.0636783964118608
sk,ab,9.52436571280254
sk,bc,10.6625137888521
sk,ca,49.9162935565505
sk,mb,5.88800207643891
sk,nb,1.33281422360651
sk,nl,0.774771267276621
sk,ns,2.17766530400363
sk,nt,0.221919408214911
sk,nu,0.0220621633897865
sk,on,18.1325027577704
sk,pe,0.321848030627474
sk,qc,0.883784309908507
sk,yk,0.141457400558043
yk,ab,6.25264047317279
yk,bc,25.4119138149556
yk,ca,40.0084495141529
yk,mb,2.51373046049852
yk,nb,0.760456273764259
yk,nl,0.760456273764259
yk,ns,1.96451204055767
yk,nt,0.908322771440642
yk,nu,0.147866497676384
yk,on,16.6032953105196
yk,pe,0.359104351499789
yk,qc,1.33079847908745
yk,sk,2.97845373891001
