src_court,dst_court,count
abca,abqb,16.5460473993956
abca,bcca,6.10585334817878
abca,bcsc,1.96635915380945
abca,fca,0.520916176236679
abca,fct,0.254493399077461
abca,nsca,1.28837283282965
abca,onca,11.2931445840624
abca,onsc,2.92667408939081
abca,qccs,0.105376173055511
abca,scc,55.4437728646413
abca,skca,2.53499284237315
abca,skqb,1.01399713694926
abqb,abca,29.9471508978284
abqb,bcca,6.07613100110144
abqb,bcsc,4.86353209850345
abqb,fca,0.637624922949445
abqb,fct,0.685118379967866
abqb,nsca,1.00948858641283
abqb,onca,8.86308747890583
abqb,onsc,6.31056678893706
abqb,qccs,0.154606360081244
abqb,scc,37.146956882004
abqb,skca,2.16954153656491
abqb,skqb,2.13619506674346
bcca,abca,2.83462565145545
bcca,abqb,1.0575823058345
bcca,bcsc,22.8854709546206
bcca,fca,0.550400406762425
bcca,fct,0.340663531206305
bcca,nsca,1.0169060633024
bcca,onca,11.9130545315876
bcca,onsc,3.20579636456082
bcca,qccs,0.128384390491928
bcca,scc,53.7498411084276
bcca,skca,1.71475784924368
bcca,skqb,0.602516842506673
bcsc,abca,2.14568573044907
bcsc,abqb,1.86282697125616
bcsc,bcca,43.016756014116
bcsc,fca,0.464023059723607
bcsc,fct,0.490288515934377
bcsc,nsca,0.761024756876162
bcsc,onca,7.97459658953153
bcsc,onsc,5.09819239783411
bcsc,qccs,0.113143503677164
bcsc,scc,35.9378788286953
bcsc,skca,1.17049648446971
bcsc,skqb,0.965087147436761
fca,abca,0.993657505285412
fca,abqb,0.418604651162791
fca,bcca,1.80549682875264
fca,bcsc,0.993657505285412
fca,fct,22.5708245243129
fca,nsca,0.295983086680761
fca,onca,3.89006342494715
fca,onsc,1.80549682875264
fca,qccs,0.173361522198731
fca,scc,66.3255813953488
fca,skca,0.490486257928118
fca,skqb,0.236786469344609
fct,abca,0.527617735470942
fct,abqb,0.490042585170341
fct,bcca,1.26189879759519
fct,bcsc,1.22902054108216
fct,fca,35.624373747495
fct,nsca,0.241107214428858
fct,onca,2.68036072144289
fct,onsc,2.02279559118236
fct,qccs,0.175350701402806
fct,scc,55.2495616232465
fct,skca,0.261460420841683
fct,skqb,0.236410320641283
nsca,abca,3.69022429115531
nsca,abqb,1.21032585696149
nsca,bcca,6.41557342361405
nsca,bcsc,2.33601354210749
nsca,fca,0.533220482437579
nsca,fct,0.279305966991113
nsca,onca,17.2027084214981
nsca,onsc,4.21074904782057
nsca,qccs,0.143884892086331
nsca,scc,60.8802369868811
nsca,skca,2.16673719847651
nsca,skqb,0.931019889970377
onca,abca,2.59150085973962
onca,abqb,1.1069147629575
onca,bcca,4.80225988700565
onca,bcsc,1.86379267993122
onca,fca,0.495885531810366
onca,fct,0.380741832473594
onca,nsca,1.06392778187178
onca,onsc,22.5052198477033
onca,qccs,0.221075902726603
onca,scc,63.0265905183002
onca,skca,1.36944239744535
onca,skqb,0.572647998034881
onsc,abca,2.0911115477828
onsc,abqb,1.75623894674789
onsc,bcca,4.25918648064453
onsc,bcsc,3.58125368441737
onsc,fca,0.485524333529836
onsc,fct,0.570675312766097
onsc,nsca,0.877710093666077
onsc,onca,43.3410296718412
onsc,qccs,0.198139778607454
onsc,scc,40.9003078535403
onsc,skca,1.03245562323967
onsc,skqb,0.906366673216742
qccs,abca,1.79736245036869
qccs,abqb,1.3223199092456
qccs,bcca,3.155133295519
qccs,bcsc,2.21568349404424
qccs,fca,0.421866137266024
qccs,fct,0.244611457742484
qccs,nsca,0.641661939875213
qccs,onca,8.28488372093023
qccs,onsc,4.06267725467952
qccs,scc,76.5102098695406
qccs,skca,0.829551900170164
qccs,skqb,0.514038570618264
scc,abca,9.65386154461785
scc,abqb,3.93157262905162
scc,bcca,15.6962785114046
scc,bcsc,6.53261304521809
scc,fca,4.43677470988395
scc,fct,3.60144057623049
scc,nsca,3.15126050420168
scc,onca,31.9127651060424
scc,onsc,10.8693477390956
scc,qccs,3.34633853541417
scc,skca,4.91696678671469
scc,skqb,1.95078031212485
skca,abca,5.54042604696199
skca,abqb,2.52057613168724
skca,bcca,6.29387557492133
skca,bcsc,2.25732268215928
skca,fca,0.517429193899782
skca,fct,0.435729847494553
skca,nsca,1.42519970951343
skca,onca,11.5528927620431
skca,onsc,3.26494795449044
skca,qccs,0.121036068748487
skca,scc,49.1224885015735
skca,skqb,16.9480755265069
skqb,abca,4.33790936867926
skqb,abqb,4.01299651417997
skqb,bcca,5.41377974781598
skqb,bcsc,4.98558333691957
skqb,fca,0.473382966820158
skqb,fct,0.481989929853251
skqb,nsca,1.08447734216982
skqb,onca,9.33640315014847
skqb,onsc,6.71558290657142
skqb,qccs,0.157077075353961
skqb,scc,36.3084735551061
skqb,skca,26.6923441063821
