language,jurisdiction,court,count
en,ab,abca,21039
en,ab,abpc,1797
en,ab,abqb,14679
en,bc,bcca,25571
en,bc,bchrt,1448
en,bc,bcpc,1571
en,bc,bcsc,24733
en,ca,fca,9041
en,ca,fct,12609
en,ca,scc,11396
en,ca,tcc,1660
en,mb,mbca,9579
en,mb,mbqb,5619
en,nb,nbca,6699
en,nb,nbqb,3113
en,nl,nlca,2490
en,nl,nlsctd,2014
en,ns,nsca,6155
en,ns,nssc,3866
en,on,onca,31558
en,on,oncj,2524
en,on,onsc,22436
en,on,onscdc,1440
en,qc,qcca,4423
en,sk,skca,10060
en,sk,skqb,9376
fr,qc,qcca,52215
fr,qc,qccq,1902
fr,qc,qccs,5445
